藥品名稱與劑量,提問中之字號,正確/建議修正字號,說明,TFDA官方核實字號,TFDA官方藥品名稱,TFDA官方規格,TFDA藥證持有人,前綴核實,是否一致,需要修正,核實備註,TFDA官方查詢入口
Diovan 160mg,衛署藥輸字第023374號,衛部藥輸字第023374號,應更正為衛部,衛署藥輸字第023374號,得安穩膜衣錠160毫克,160毫克,台灣諾華股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第023374號」，無須更正為衛部,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Cozaar 50mg,衛署藥輸字第021914號,衛部藥輸字第021914號,應更正為衛部,衛署藥輸字第021914號,可悅您膜衣錠50毫克,50毫克,美時化學製藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第021914號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Blopress 8mg,衛署藥輸字第023128號,衛部藥輸字第023128號,應更正為衛部,衛署藥輸字第023128號,博脈舒錠8毫克,8毫克,台灣武田藥品工業股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第023128號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Olmetec 20mg,衛署藥輸字第024497號,衛部藥輸字第024497號,應更正為衛部,衛署藥輸字第024497號,德國第一三共雅脈膜衣錠20毫克,20毫克,台灣第一三共股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第024497號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Micardis 40mg,衛署藥輸字第023162號,衛部藥輸字第023162號,應更正為衛部,衛署藥輸字第023162號,必康平錠40毫克,40毫克,台灣百靈佳殷格翰股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第023162號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Micardis 80mg,衛署藥輸字第023161號,衛部藥輸字第023161號,應更正為衛部,衛署藥輸字第023161號,必康平錠80毫克,80毫克,台灣百靈佳殷格翰股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第023161號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Edarbi 40mg,衛署藥輸字第025756號,衛部藥輸字第025756號,應更正為衛部,衛署藥輸字第025756號,易得平錠40毫克,40毫克,台灣武田藥品工業股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第025756號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Edarbi 80mg,衛署藥輸字第025755號,衛部藥輸字第025755號,應更正為衛部,衛署藥輸字第025755號,易得平錠80毫克,80毫克,台灣武田藥品工業股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第025755號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Aprovel 150mg,衛署藥輸字第022551號,衛部藥輸字第022551號,應更正為衛部,衛署藥輸字第022551號,安普諾維膜衣錠150毫克,150毫克,賽諾菲股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022551號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Aprovel 300mg,衛署藥輸字第022843號,衛部藥輸字第022843號,應更正為衛部,衛署藥輸字第022843號,安普諾維膜衣錠300毫克,300毫克,賽諾菲股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022843號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Renitec 20mg,衛署藥輸字第021609號,衛部藥輸字第021609號,應更正為衛部,衛署藥輸字第021609號,悅您定錠20毫克,20毫克,美時化學製藥股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第021609號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
Zestril 10mg,衛署藥輸字第022152號,衛部藥輸字第022152號,應更正為衛部,衛署藥輸字第022152號,捷賜瑞錠10公絲,10公絲,台灣阿斯特捷利康股份有限公司,衛署藥輸字,一致,否,官方藥證保留衛署時期發證字號「衛署藥輸字第022152號」,https://lmspiq.fda.gov.tw/web/DRPIQ/license-search
